empresa,p_empresa,marca,p_marca,obra,p_obra,bloco,p_bloco,unidade,p_unidade,dt_venda,p_dt_venda_day,p_dt_venda_month,p_dt_venda_year,dt_chaves,p_dt_chaves_day,p_dt_chaves_month,p_dt_chaves_year,carteira_sd_gerencial,p_carteira_sd_gerencial,saldo_devedor,p_saldo_devedor,p_data_base_day,p_data_base_month,p_data_base_year,dias_atraso,p_dias_atraso,p_dias_atraso_category,valor_pago_atualizado,p_valor_pago_atualizado,valor_pago,p_valor_pago,vgv,p_vgv
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,208,0.09027777777777778,2020-08-31,1.0333333333333334,0.6666666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,551115,0.042393458277426285,551115.05,0.042393463688876844,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,194088.88,0.017448141088512874,179156.54,0.016286958181818183,730271.59,0.0356230043902439
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,212,0.0920138888888889,2020-11-16,0.5333333333333333,0.9166666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,362793,0.027907151699449868,362792.5,0.027907114268330816,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,87043.19,0.007824981317395582,81860.36,0.007441850909090909,444652.86,0.021690383414634147
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,220,0.0954861111111111,2020-12-29,0.9666666666666667,1.0,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,444075,0.03415961275695287,444074.58,0.03415958171053981,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,27406.76,0.0024638042903798044,26850.52,0.002440956363636364,470925.1,0.022971956097560975
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,304,0.13194444444444445,2020-09-10,0.3333333333333333,0.75,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,274206,0.021092767608248644,274206.06,0.021092773002442926,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,152861.05,0.013741854594339565,147521.52,0.013411047272727272,421727.58,0.02057207707317073
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,305,0.1323784722222222,2020-09-14,0.4666666666666667,0.75,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,434649,0.03343453588965108,434649.18,0.03343455097031027,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,33091.8,0.0029748762282148793,30644.31,0.002785846363636364,465293.49,0.022697243414634145
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,311,0.1349826388888889,2020-08-31,1.0333333333333334,0.6666666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,397641,0.030587766877864086,397641.02,0.03058776954571999,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,53833.4,0.0048394980612714595,49549.54,0.004504503636363636,447190.56,0.021814173658536586
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,312,0.13541666666666666,2020-09-30,1.0,0.75,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,439538,0.033810612783799016,439538.18,0.033810627878344116,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,24798.72,0.0022293475307525396,23765.07,0.0021604609090909092,463303.25,0.022600158536585365
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,313,0.13585069444444445,2020-08-31,1.0333333333333334,0.6666666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,280373,0.021567152187142138,280373.12,0.021567162214236588,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,152197.9,0.013682238944216553,138957.47,0.012632497272727273,419330.59,0.020455150731707318
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,315,0.13671875,2020-08-25,0.8333333333333334,0.6666666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,425113,0.032700997484538655,425112.83,0.0327009856150375,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,32826.92,0.002951064129286155,31003.69,0.0028185172727272726,456116.52,0.022249586341463415
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,317,0.13758680555555555,2020-08-25,0.8333333333333334,0.6666666666666666,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,425113,0.032700997484538655,425112.79,0.03270098253811454,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,32793.54,0.002948063344544986,30944.92,0.002813174545454545,456057.71,0.022246717560975612
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,320,0.1388888888888889,2020-09-10,0.3333333333333333,0.75,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,251027,0.01930976774540248,251026.73,0.019309747689148556,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,183886.72,0.016530990517663154,170294.22,0.015481292727272727,421320.95,0.020552241463414635
2067,0.6532869785082175,CYRELA,1,8312,0.8370594159113797,1,1.0,321,0.13932291666666666,2020-09-18,0.6,0.75,1.01,2023-07-01,0.03333333333333333,0.5833333333333334,1.0115,359276,0.02763661325872206,359275.61,0.027636584279152013,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,77065.5,0.006928010080004526,73456.06,0.0066778236363636365,432731.67,0.021108861951219512
